id;szakmaNev
04;Mechatronika 
05;Gépészeti tervezo - CAD
07;CNC maró
08;Kofaragó
10;Hegeszto
12;Hidegburkoló
15;Víz-, gáz- és futésszerelo 
16;Elektronikai muszerész
17;Webfejleszto 
18;Villanyszerelo
19;Elektronikai technikus
20;Komuves
21;Szárazépíto
22;Festo, díszítofesto
23;Mobil robotika
24;Bútorasztalos
25;Épületasztalos
28;Virágköto
29;Fodrász 
30;Szépségápoló
31;Ruhaipari technikus
33;Autószerelo
34;Szakács
35;Pincér
38;Huto- és légtechnikai szerelo
39;Informatikai rendszerüzemelteto
40;Grafikus
41;Ápolás és gondozás
44;Dekorator, kirakattervezo
49;Bádogos
50;Melegburkoló
51;Kertépíto
53;Nehézgépszerelo
54;Tehergépjármu szerelo
57;Szállodai recepciós
D1;Pék
D3;Betonszerkezet építo